airline,metric,source_type,expected_periods,populated_periods,missing_periods,coverage_pct
AAL,Capital Expenditures,auto_xbrl,62,62,0,100.0
AAL,Cash & Cash Equivalents,auto_xbrl,62,62,0,100.0
AAL,Current Maturities,auto_xbrl,62,62,0,100.0
AAL,Earnings Per Share,auto_xbrl,62,62,0,100.0
AAL,Long-Term Debt,auto_xbrl,62,62,0,100.0
AAL,Net Income,auto_xbrl,62,62,0,100.0
AAL,Operating Cash Flow,auto_xbrl,62,62,0,100.0
AAL,Operating Expenses,auto_xbrl,62,62,0,100.0
AAL,Operating Income,auto_xbrl,62,62,0,100.0
AAL,Operating Revenue,auto_xbrl,62,62,0,100.0
AAL,Short-Term Investments,auto_xbrl,62,62,0,100.0
AAL,ASM,manual_only,62,62,0,100.0
AAL,Passenger Revenue,manual_only,62,62,0,100.0
AAL,Profit Sharing,manual_only,62,62,0,100.0
AAL,RPM,manual_only,62,62,0,100.0
ALGT,Capital Expenditures,auto_xbrl,61,61,0,100.0
ALGT,Cash & Cash Equivalents,auto_xbrl,61,61,0,100.0
ALGT,Current Maturities,auto_xbrl,61,61,0,100.0
ALGT,Earnings Per Share,auto_xbrl,61,61,0,100.0
ALGT,Long-Term Debt,auto_xbrl,61,61,0,100.0
ALGT,Net Income,auto_xbrl,61,61,0,100.0
ALGT,Operating Cash Flow,auto_xbrl,61,61,0,100.0
ALGT,Operating Expenses,auto_xbrl,61,61,0,100.0
ALGT,Operating Income,auto_xbrl,61,61,0,100.0
ALGT,Operating Revenue,auto_xbrl,61,61,0,100.0
ALGT,Short-Term Investments,auto_xbrl,61,40,21,65.6
ALGT,ASM,manual_only,61,0,61,0.0
ALGT,Passenger Revenue,manual_only,61,0,61,0.0
ALGT,Profit Sharing,manual_only,61,0,61,0.0
ALGT,RPM,manual_only,61,0,61,0.0
ALK,Capital Expenditures,auto_xbrl,61,61,0,100.0
ALK,Cash & Cash Equivalents,auto_xbrl,61,61,0,100.0
ALK,Current Maturities,auto_xbrl,61,61,0,100.0
ALK,Earnings Per Share,auto_xbrl,61,61,0,100.0
ALK,Long-Term Debt,auto_xbrl,61,61,0,100.0
ALK,Net Income,auto_xbrl,61,61,0,100.0
ALK,Operating Cash Flow,auto_xbrl,61,61,0,100.0
ALK,Operating Expenses,auto_xbrl,61,61,0,100.0
ALK,Operating Income,auto_xbrl,61,61,0,100.0
ALK,Operating Revenue,auto_xbrl,61,61,0,100.0
ALK,Short-Term Investments,auto_xbrl,61,61,0,100.0
ALK,ASM,manual_only,61,0,61,0.0
ALK,Passenger Revenue,manual_only,61,0,61,0.0
ALK,Profit Sharing,manual_only,61,0,61,0.0
ALK,RPM,manual_only,61,0,61,0.0
DAL,Capital Expenditures,auto_xbrl,62,62,0,100.0
DAL,Cash & Cash Equivalents,auto_xbrl,62,62,0,100.0
DAL,Current Maturities,auto_xbrl,62,62,0,100.0
DAL,Earnings Per Share,auto_xbrl,62,62,0,100.0
DAL,Long-Term Debt,auto_xbrl,62,62,0,100.0
DAL,Net Income,auto_xbrl,62,62,0,100.0
DAL,Operating Cash Flow,auto_xbrl,62,62,0,100.0
DAL,Operating Expenses,auto_xbrl,62,62,0,100.0
DAL,Operating Income,auto_xbrl,62,62,0,100.0
DAL,Operating Revenue,auto_xbrl,62,62,0,100.0
DAL,Short-Term Investments,auto_xbrl,62,54,8,87.1
DAL,ASM,manual_only,62,62,0,100.0
DAL,Passenger Revenue,manual_only,62,62,0,100.0
DAL,Profit Sharing,manual_only,62,62,0,100.0
DAL,RPM,manual_only,62,62,0,100.0
HA,Capital Expenditures,auto_xbrl,52,52,0,100.0
HA,Cash & Cash Equivalents,auto_xbrl,52,52,0,100.0
HA,Current Maturities,auto_xbrl,52,52,0,100.0
HA,Earnings Per Share,auto_xbrl,52,52,0,100.0
HA,Long-Term Debt,auto_xbrl,52,52,0,100.0
HA,Net Income,auto_xbrl,52,52,0,100.0
HA,Operating Cash Flow,auto_xbrl,52,52,0,100.0
HA,Operating Expenses,auto_xbrl,52,52,0,100.0
HA,Operating Income,auto_xbrl,52,52,0,100.0
HA,Operating Revenue,auto_xbrl,52,52,0,100.0
HA,Short-Term Investments,auto_xbrl,52,52,0,100.0
HA,ASM,manual_only,52,0,52,0.0
HA,Passenger Revenue,manual_only,52,0,52,0.0
HA,Profit Sharing,manual_only,52,0,52,0.0
HA,RPM,manual_only,52,0,52,0.0
JBLU,Capital Expenditures,auto_xbrl,62,62,0,100.0
JBLU,Cash & Cash Equivalents,auto_xbrl,62,62,0,100.0
JBLU,Current Maturities,auto_xbrl,62,62,0,100.0
JBLU,Earnings Per Share,auto_xbrl,62,62,0,100.0
JBLU,Long-Term Debt,auto_xbrl,62,62,0,100.0
JBLU,Net Income,auto_xbrl,62,62,0,100.0
JBLU,Operating Cash Flow,auto_xbrl,62,62,0,100.0
JBLU,Operating Expenses,auto_xbrl,62,62,0,100.0
JBLU,Operating Income,auto_xbrl,62,62,0,100.0
JBLU,Operating Revenue,auto_xbrl,62,62,0,100.0
JBLU,Short-Term Investments,auto_xbrl,62,62,0,100.0
JBLU,ASM,manual_only,62,0,62,0.0
JBLU,Passenger Revenue,manual_only,62,0,62,0.0
JBLU,Profit Sharing,manual_only,62,0,62,0.0
JBLU,RPM,manual_only,62,0,62,0.0
LUV,Capital Expenditures,auto_xbrl,62,62,0,100.0
LUV,Cash & Cash Equivalents,auto_xbrl,62,62,0,100.0
LUV,Current Maturities,auto_xbrl,62,62,0,100.0
LUV,Earnings Per Share,auto_xbrl,62,62,0,100.0
LUV,Long-Term Debt,auto_xbrl,62,62,0,100.0
LUV,Net Income,auto_xbrl,62,62,0,100.0
LUV,Operating Cash Flow,auto_xbrl,62,62,0,100.0
LUV,Operating Expenses,auto_xbrl,62,62,0,100.0
LUV,Operating Income,auto_xbrl,62,62,0,100.0
LUV,Operating Revenue,auto_xbrl,62,62,0,100.0
LUV,Short-Term Investments,auto_xbrl,62,60,2,96.8
LUV,ASM,manual_only,62,62,0,100.0
LUV,Passenger Revenue,manual_only,62,62,0,100.0
LUV,Profit Sharing,manual_only,62,62,0,100.0
LUV,RPM,manual_only,62,62,0,100.0
RJET,Capital Expenditures,auto_xbrl,61,43,18,70.5
RJET,Cash & Cash Equivalents,auto_xbrl,61,52,9,85.2
RJET,Current Maturities,auto_xbrl,61,44,17,72.1
RJET,Earnings Per Share,auto_xbrl,61,48,13,78.7
RJET,Long-Term Debt,auto_xbrl,61,44,17,72.1
RJET,Net Income,auto_xbrl,61,47,14,77.0
RJET,Operating Cash Flow,auto_xbrl,61,45,16,73.8
RJET,Operating Expenses,auto_xbrl,61,47,14,77.0
RJET,Operating Income,auto_xbrl,61,47,14,77.0
RJET,Operating Revenue,auto_xbrl,61,47,14,77.0
RJET,Short-Term Investments,auto_xbrl,61,17,44,27.9
