Airline,Year,Quarter,Passenger Revenue,RPM,ASM,Profit Sharing,Long-Term Debt,Operating Revenue,Operating Expenses,Net Income
AAL,2014,FY,37124000000,217870000000,265657000000,0,16196000000,42650000000,38401000000,2882000000
AAL,2014,Q1,8665000000,50886000000,63392000000,0,15244000000,9995000000,9265000000,480000000
AAL,2014,Q2,9920000000,57194000000,68090000000,0,15205000000,11355000000,9956000000,864000000
AAL,2014,Q3,9758000000,57650000000,69120000000,0,15651000000,11139000000,9879000000,942000000
AAL,2014,Q4,8782000000,52140000000,65053000000,0,16196000000,10160000000,9300000000,597000000
AAL,2015,FY,35512000000,223010000000,268736000000,0,18330000000,40990000000,34786000000,7610000000
AAL,2015,Q1,8441000000,50190000000,62791000000,0,17638000000,9827000000,8611000000,932000000
AAL,2015,Q2,9414000000,57821000000,69401000000,0,17152000000,10827000000,8906000000,1704000000
AAL,2015,Q3,9353000000,60866000000,71092000000,0,18849000000,10706000000,8707000000,1693000000
AAL,2015,Q4,8305000000,54133000000,65453000000,0,18330000000,9630000000,8562000000,3281000000
AAL,2016,FY,34579000000,223477000000,273410000000,314000000,22489000000,40180000000,34896000000,2676000000
AAL,2016,Q1,8087000000,51771000000,65064000000,73000000,19134000000,9435000000,8100000000,700000000
AAL,2016,Q2,8995000000,58336000000,70751000000,98000000,21131000000,10363000000,8612000000,950000000
AAL,2016,Q3,9150000000,53472000000,63751000000,86000000,21545000000,10594000000,9163000000,737000000
AAL,2016,Q4,8347000000,53452000000,65683000000,57000000,22489000000,9789000000,9022000000,289000000
AAL,2017,FY,36133000000,226346000000,276493000000,241000000,22511000000,42207000000,38149000000,1919000000
AAL,2017,Q1,8155000000,50984000000,64341000000,31000000,22829000000,9624000000,9023000000,234000000
AAL,2017,Q2,9582000000,59564000000,71743000000,94000000,22525000000,11105000000,9570000000,803000000
AAL,2017,Q3,9377000000,54012000000,64582000000,70000000,22217000000,10878000000,9646000000,624000000
AAL,2017,Q4,9019000000,55327000000,67355000000,47000000,22511000000,10600000000,9910000000,258000000
AAL,2018,FY,40676000000,231160000000,282054000000,175000000,20566000000,44541000000,41885000000,1412000000
AAL,2018,Q1,9480000000,52945000000,65823000000,29000000,21946000000,10401000000,9970000000,159000000
AAL,2018,Q2,10674000000,60779000000,72893000000,63000000,21863000000,11643000000,10615000000,556000000
AAL,2018,Q3,10561000000,61865000000,75039000000,43000000,22274000000,11559000000,10910000000,372000000
AAL,2018,Q4,9962000000,55570000000,68298000000,40000000,20566000000,10938000000,10367000000,325000000
AAL,2019,FY,42010000000,241252000000,285088000000,213000000,20896000000,45768000000,42703000000,1686000000
AAL,2019,Q1,9658000000,54802000000,66674000000,20000000,20065000000,10584000000,10209000000,185000000
AAL,2019,Q2,11011000000,62658000000,72322000000,67000000,21222000000,11960000000,10807000000,662000000
AAL,2019,Q3,10995000000,64874000000,75820000000,52000000,21055000000,11911000000,11103000000,425000000
AAL,2019,Q4,10347000000,58917000000,70272000000,74000000,20896000000,11313000000,10584000000,414000000
