Airline,Year,Quarter,Shares Repurchased,Cost
AAL,2013,FY,0,0
AAL,2014,FY,23400000,1000000000
AAL,2015,FY,85100000,3600000000
AAL,2016,FY,119800000,4400000000
AAL,2017,FY,33900000,1600000000
AAL,2018,FY,16600000,800000000
AAL,2019,FY,33800000,1100000000
AAL,2020,FY,6400000,145000000
DAL,2013,FY,10000000,250000000
DAL,2014,FY,28600000,1100000000
DAL,2015,FY,48400000,2200000000
DAL,2016,FY,60000000,2600000000
DAL,2017,FY,33000000,1700000000
DAL,2018,FY,29000000,1600000000
DAL,2019,FY,38000000,2000000000
DAL,2020,FY,6700000,377620000
UAL,2013,FY,0,0
UAL,2014,FY,6500000,320000000
UAL,2015,FY,21000000,1200000000
UAL,2016,FY,50000000,2600000000
UAL,2017,FY,28000000,1800000000
UAL,2018,FY,17500000,1200000000
UAL,2019,FY,19200000,1600000000
UAL,2020,FY,4300000,341400000
