Year,Quarter,Airline,Total Revenue,Available Seat Miles (ASM),Total Revenue per Available Seat Mile (TRASM),Net Income,Profit Sharing
2018,1,AAL,10401000000,65823000000,0.158,159000000,29000000
2018,1,DAL,9968000000,59453000000,0.1677,557000000,188000000
2018,1,UAL,9032000000,61977000000,0.1457,145000000,17000000
2018,2,AAL,11643000000,72893000000,0.1597,556000000,63000000
2018,2,DAL,11775000000,68514000000,0.1719,1036000000,404000000
2018,2,UAL,10777000000,70702000000,0.1524,684000000,108000000
2018,3,AAL,11559000000,75039000000,0.154,372000000,43000000
2018,3,DAL,11953000000,72875000000,0.164,1322000000,399000000
2018,3,UAL,11003000000,73681000000,0.149332935,836000000,127000000
2018,4,AAL,10938000000,68298000000,0.1602,325000000,40000000
2018,4,DAL,10742000000,62523000000,0.1718,1019000000,311000000
2018,4,UAL,10491000000,68902000000,0.1523,462000000,82000000
2018,FY,AAL,44541000000,2.82E+11,0.1579,1412000000,175000000
2018,FY,DAL,44438000000,2.63E+11,0.168731608,3935000000,1301000000
2018,FY,UAL,41303000000,2.75E+11,0.15,2129000000,334000000
2019,1,AAL,10584000000,66674000000,0.1577,185000000,20000000
2019,1,DAL,10472000000,62416000000,0.1678,730000000,220000000
2019,1,UAL,9589000000,65645000000,0.1461,292000000,33000000
2019,2,AAL,11960000000,72322000000,0.1654,662000000,67000000
2019,2,DAL,12536000000,71754000000,0.1747,1443000000,518000000
2019,2,UAL,11402000000,73240000000,0.1557,1052000000,161000000
2019,3,AAL,11911000000,75820000000,0.1571,425000000,52000000
2019,3,DAL,12560000000,75742000000,0.1658,1495000000,517000000
2019,3,UAL,11380000000,75076000000,0.151579733,1024000000,174000000
2019,4,AAL,11313000000,70272000000,0.161,414000000,74000000
2019,4,DAL,11439000000,65468000000,0.1747,1099000000,387000000
2019,4,UAL,10888000000,71038000000,0.1533,641000000,123000000
2019,FY,AAL,45768000000,2.85E+11,0.1605,1686000000,213000000
2019,FY,DAL,47007000000,2.75E+11,0.1707,4767000000,1643000000
2019,FY,UAL,43259000000,2.85E+11,0.1518,3009000000,491000000
2020,1,AAL,8515000000,62099000000,0.1371,-2241000000,0
2020,1,DAL,8592000000,58885000000,0.1459,-534000000,0
2020,1,UAL,7979000000,60938000000,0.1309,-1704000000,0
2020,2,AAL,1622000000,17081000000,0.095,-2067000000,0
2020,2,DAL,1468000000,10596000000,0.1385,-5717000000,0
2020,2,UAL,1475000000,8963000000,0.1646,-1627000000,0
2020,3,AAL,3173000000,30768000000,0.1031,-2399000000,0
2020,3,DAL,3062000000,28290000000,0.1082,-5379000000,0
2020,3,UAL,2489000000,22212000000,0.1121,-1841000000,0
2020,4,AAL,4027000000,33219000000,0.1212,-2178000000,0
2020,4,DAL,3973000000,36569000000,0.1086,-755000000,0
2020,4,UAL,3412000000,30691000000,0.1112,-1897000000,0
2020,FY,AAL,17337000000,1.43E+11,0.1211,-8885000000,0
2020,FY,DAL,17095000000,1.34E+11,0.1273,-12385000000,0
2020,FY,UAL,15355000000,1.23E+11,0.125,-7069000000,0
2021,1,AAL,4008000000,37764000000,0.1061,-1250000000,0
2021,1,DAL,4150000000,40118000000,0.1034,-1177000000,0
2021,1,UAL,3221000000,30370000000,0.1061,-1357000000,0
2021,2,AAL,7478000000,54555000000,0.1371,19000000,0
2021,2,DAL,7126000000,48526000000,0.1468,652000000,0
2021,2,UAL,5471000000,39613000000,0.1381,-434000000,0
2021,3,AAL,8969000000,61111000000,0.1468,169000000,0
2021,3,DAL,9154000000,54083000000,0.1693,1212000000,0
2021,3,UAL,7750000000,53886000000,0.1438,473000000,0
2021,4,AAL,9427000000,61105000000,0.1543,-931000000,0
2021,4,DAL,9470000000,51744000000,0.183,-408000000,0
2021,4,UAL,8192000000,54815000000,0.1494,-646000000,0
2021,FY,AAL,29882000000,2.15E+11,0.1393,-1993000000,0
2021,FY,DAL,29899000000,1.94E+11,0.1537,280000000,0
2021,FY,UAL,24634000000,1.79E+11,0.1379,-1964000000,0
2022,1,AAL,8899000000,59533000000,0.1495,-1635000000,0
2022,1,DAL,9348000000,51810000000,0.1804,-940000000,0
2022,1,UAL,7566000000,53264000000,0.142,-1377000000,0
2022,2,AAL,13422000000,66163000000,0.2029,476000000,0
2022,2,DAL,13824000000,58903000000,0.2347,735000000,54000000
2022,2,UAL,12112000000,62605000000,0.1935,329000000,0
2022,3,AAL,13462000000,68567000000,0.1963,483000000,0
2022,3,DAL,13975000000,63007000000,0.2218,695000000,237000000
2022,3,UAL,12877000000,67695000000,0.1902,942000000,8000000
2022,4,AAL,13189000000,65962000000,0.1999,803000000,0
2022,4,DAL,13435000000,59506000000,0.2258,828000000,272000000
2022,4,UAL,12400000000,64294000000,0.1929,843000000,125000000
2022,FY,AAL,48971000000,2.60E+11,0.1882,127000000,211000000
2022,FY,DAL,50582000000,2.33E+11,0.2169,1318000000,563000000
2022,FY,UAL,44955000000,2.48E+11,0.1814,737000000,133000000
2023,1,AAL,12189000000,65006000000,0.1875,10000000,0
2023,1,DAL,12759000000,61351000000,0.208,-363000000,72000000
2023,1,UAL,11429000000,65720000000,0.1739,-194000000,0
2023,2,AAL,14055000000,69658000000,0.2018,1338000000,0
2023,2,DAL,15578000000,68993000000,0.2258,1827000000,595000000
2023,2,UAL,14178000000,73538000000,0.1928,1075000000,220000000
2023,3,AAL,13482000000,73285000000,0.184,-545000000,0
2023,3,DAL,15488000000,73226000000,0.2115,1108000000,417000000
2023,3,UAL,14484000000,78348000000,0.1849,1137000000,301000000
2023,4,AAL,13062000000,69773000000,0.1872,19000000,0
2023,4,DAL,14223000000,68462000000,0.2078,2037000000,299000000
2023,4,UAL,13626000000,73727000000,0.1848,600000000,160000000
2023,FY,AAL,52788000000,2.78E+11,0.1901,822000000,0
2023,FY,DAL,58048000000,2.72E+11,0.2134,4609000000,1383000000
2023,FY,UAL,53717000000,2.91E+11,0.1844,2618000000,681000000
2024,1,AAL,12570000000,70516000000,0.1783,-312000000,0
2024,1,DAL,13748000000,65542000000,0.2098,37000000,125000000
2024,1,UAL,12539000000,71668000000,0.175,-124000000,0
2024,2,AAL,14334000000,75263000000,0.1905,717000000,0
2024,2,DAL,16658000000,74656000000,0.2231,1305000000,519000000
2024,2,UAL,14986000000,79678000000,0.1881,1323000000,185000000
2024,3,AAL,13647000000,75665000000,0.1804,-149000000,0
2024,3,DAL,15677000000,76162000000,0.2058,1272000000,320000000
2024,3,UAL,14843000000,81541000000,0.182,965000000,231000000
